player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
159,DF,United States,29-162,1993,0.4,2,1,1,1,0,2,2,100,0,0,0,0,0,2,2,0
160,MF,England,23-338,1999,4.6,6,5,0,5,1,0,1,0,1,4,3,1,11,17,5,0
161,DF,Croatia,33-166,1989,6.7,7,2,5,1,1,3,5,60,2,7,5,2,6,13,29,0
162,DF,Ghana,34-205,1988,0.1,1,0,1,0,0,1,1,100,0,2,2,0,0,1,2,0
163,MF,Switzerland,26-028,1996,0.7,0,0,0,0,0,0,0,,0,1,0,1,3,3,1,0
164,DF,Netherlands,26-244,1996,5.3,8,5,7,1,0,5,6,83.3,1,5,1,4,7,15,6,0
165,GK,Cameroon,29-319,1993,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
166,DF,Uruguay,36-305,1986,1.7,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0
167,GK,Portugal,23-090,1999,5,1,0,1,0,0,0,0,,0,0,0,0,0,1,4,1
168,DF,Portugal,23-275,1999,2.9,8,6,7,1,0,8,8,100,0,7,2,5,2,10,1,0
169,MF,Switzerland,25-315,1997,2.9,2,1,0,2,0,0,1,0,1,0,0,0,2,4,0,0
170,FW,Ecuador,23-334,1999,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
171,GK,Croatia,27-343,1995,7.7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
172,MF,Belgium,35-226,1987,0.8,2,0,1,1,0,2,3,66.7,1,0,0,0,0,2,0,0
173,MF,Serbia,34-028,1988,2.9,4,2,0,4,0,2,3,66.7,1,4,1,3,1,5,0,0
174,FW,Serbia,22-324,2000,0.9,1,0,1,0,0,1,1,100,0,0,0,0,0,1,0,0
175,DF,Tunisia,27-182,1995,1.8,4,2,1,2,1,3,3,100,0,2,1,1,0,4,0,0
176,MF,Belgium,31-345,1991,1.4,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
177,GK,Brazil,29-123,1993,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
178,FW,Switzerland,26-247,1996,1.6,2,1,1,0,1,0,1,0,1,3,0,3,2,4,3,0
179,FW,Uruguay,35-307,1987,1.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
180,GK,Senegal,30-292,1992,4,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,1
181,MF,Mexico,25-055,1997,1.9,3,2,2,1,0,1,3,33.3,2,1,0,1,4,7,2,0
182,DF,France,20-038,2002,1.6,14,9,7,5,2,4,5,80,1,4,0,4,3,17,6,0
183,MF,IR Iran,32-296,1990,2.6,6,3,2,3,1,3,5,60,2,3,0,3,2,8,2,0
184,MF,Tunisia,27-222,1995,3,10,3,4,6,0,5,7,71.4,2,2,0,2,7,17,3,0
185,GK,Argentina,30-107,1992,7.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
186,FW,Ecuador,33-044,1989,2.8,2,0,0,2,0,0,1,0,1,3,0,3,1,3,2,0
187,DF,Cameroon,23-282,1999,1,4,2,4,0,0,1,1,100,0,1,0,1,0,4,5,0
188,MF,Argentina,21-335,2001,6.3,22,15,15,5,2,14,24,58.3,10,7,1,6,3,25,7,0
189,DF,Switzerland,24-317,1998,0.5,0,0,0,0,0,0,1,0,1,1,0,1,2,2,2,0
190,DF,England,28-337,1994,0.4,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
191,FW,Cameroon,33-270,1989,2.8,4,2,1,3,0,1,2,50,1,0,0,0,1,5,1,0
192,MF,Mexico,27-186,1995,0.5,1,1,0,1,0,1,3,33.3,2,0,0,0,2,3,1,0
193,MF,Wales,22-095,2000,2.8,4,3,1,3,0,0,1,0,1,9,4,5,4,8,10,0
194,MF,Brazil,33-252,1989,0.4,1,0,1,0,0,1,1,100,0,0,0,0,0,1,0,0
195,MF,Argentina,24-074,1998,0.6,0,0,0,0,0,0,2,0,2,0,0,0,2,2,1,0
196,MF,Switzerland,33-344,1989,0.3,1,1,1,0,0,0,1,0,1,0,0,0,1,2,0,0
197,FW,Switzerland,20-305,2002,0.8,3,2,1,1,1,1,2,50,1,2,0,2,0,3,1,0
198,DF,Switzerland,30-363,1991,1.5,2,1,1,1,0,1,1,100,0,1,1,0,2,4,7,0
199,MF,Brazil,29-056,1993,1,3,2,1,2,0,2,2,100,0,0,0,0,1,4,2,0
200,MF,Uruguay,20-363,2001,2,2,1,0,1,1,1,2,50,1,1,0,1,0,2,2,0
201,FW,Senegal,30-003,1992,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0
202,MF,Uruguay,24-149,1998,3,7,4,3,4,0,5,6,83.3,1,6,0,6,5,12,1,0
203,MF,Tunisia,30-275,1992,0.5,2,0,0,2,0,1,1,100,0,1,0,1,1,3,0,0
204,FW,Spain,22-292,2000,2.4,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0
205,DF,Serbia,30-047,1992,2,6,3,2,1,3,2,2,100,0,3,0,3,0,6,1,0
206,DF,Serbia,31-125,1991,0.7,0,0,0,0,0,0,2,0,2,1,0,1,0,0,1,0
207,MF,Serbia,30-322,1992,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
208,MF,Saudi Arabia,22-218,2000,3,3,3,2,0,1,2,2,100,0,5,2,3,2,5,4,0
209,DF,Senegal,25-349,1997,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
210,DF,Australia,26-220,1996,1,2,1,2,0,0,1,1,100,0,2,1,1,2,4,3,0
211,DF,Costa Rica,30-163,1992,2,7,4,6,1,0,4,7,57.1,3,3,1,2,2,9,2,0
212,MF,Brazil,29-288,1993,1.6,3,3,1,1,1,1,2,50,1,1,1,0,0,3,3,0
213,MF,Netherlands,25-220,1997,5.3,12,5,4,5,3,1,3,33.3,2,6,3,3,6,18,3,0
214,DF,Ecuador,25-341,1997,3,2,2,2,0,0,2,3,66.7,1,3,2,1,4,6,10,0
215,FW,Brazil,25-259,1997,1,2,1,0,1,1,0,0,,0,0,0,0,2,4,0,0
216,FW,Australia,18-094,2004,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
217,FW,Wales,33-155,1989,2.5,1,1,1,0,0,0,2,0,2,1,0,1,1,2,1,0
218,MF,Spain,18-135,2004,3.2,8,4,1,7,0,2,5,40,3,3,0,3,1,9,2,0
219,MF,Cameroon,27-044,1995,0.5,2,1,0,2,0,1,1,100,0,1,0,1,2,4,0,0
220,FW,Cameroon,27-308,1995,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
221,DF,Argentina,31-174,1991,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
222,MF,Costa Rica,25-112,1997,0.7,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0
223,MF,Tunisia,28-293,1994,0.2,0,0,0,0,0,0,0,,0,1,0,1,2,2,1,0
224,DF,Ghana,24-153,1998,1,1,1,0,1,0,1,1,100,0,1,1,0,2,3,5,0
225,FW,United States,20-035,2002,0.6,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
226,MF,Uruguay,28-200,1994,1.2,3,1,2,1,0,0,4,0,4,1,0,1,2,5,1,0
227,DF,Brazil,25-275,1997,1.2,1,1,1,0,0,0,1,0,1,1,0,1,1,2,6,0
228,DF,Argentina,25-351,1997,1.3,3,2,2,1,0,2,4,50,2,1,0,1,1,4,1,0
229,MF,Ecuador,22-047,2000,3,3,2,2,1,0,2,8,25,6,3,0,3,2,5,0,0
230,FW,Portugal,21-181,2001,1.7,1,1,0,1,0,1,2,50,1,0,0,0,0,1,2,0
231,MF,Switzerland,30-082,1992,4,6,4,1,5,0,4,6,66.7,2,3,2,1,2,8,7,0
232,GK,Switzerland,25-012,1997,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
233,MF,Poland,32-323,1990,3.7,9,4,2,5,2,1,7,14.3,6,5,3,2,5,14,4,0
234,MF,Argentina,28-250,1994,0.6,2,0,1,1,0,2,2,100,0,1,1,0,0,2,1,0
235,GK,Mexico,37-158,1985,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
236,DF,Uruguay,29-269,1993,2,3,2,2,1,0,3,4,75,1,1,0,1,3,6,1,0
237,FW,United States,24-266,1998,1.5,2,0,1,1,0,2,2,100,0,0,0,0,0,2,1,0
238,FW,Morocco,29-274,1993,7.1,10,7,4,5,1,4,11,36.4,7,10,0,10,10,20,4,1
