player ID,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
107,FW,Cameroon,23-133,1999,2.6,0,2,2,100,0.77,0.77,0,0,11.3,0,0,0,0.2,0.2,0.1,-0.2,-0.2
108,DF,Costa Rica,32-303,1990,2.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
109,MF,Costa Rica,37-122,1985,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
110,FW,England,21-104,2001,3.2,3,7,5,71.4,2.19,1.56,0.43,0.6,14.9,0,0,0,0.6,0.6,0.09,2.4,2.4
111,FW,England,30-294,1992,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
112,DF,United States,24-352,1997,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
113,MF,Ecuador,27-243,1995,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
114,DF,Costa Rica,23-263,1999,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
115,MF,Spain,25-350,1997,1,1,4,1,25,3.91,0.98,0.25,1,17.3,1,0,0,0.5,0.5,0.13,0.5,0.5
116,MF,Brazil,30-298,1992,4.3,1,9,3,33.3,2.08,0.69,0.11,0.33,26,1,0,0,0.4,0.4,0.05,0.6,0.6
117,MF,Costa Rica,34-205,1988,2.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
118,FW,Belgium,21-283,2001,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
119,MF,Mexico,25-349,1997,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
120,MF,Senegal,32-362,1989,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
121,FW,Korea Republic,24-327,1998,3.1,2,9,5,55.6,2.95,1.64,0.22,0.4,11.4,0,0,0,1.1,1.1,0.12,0.9,0.9
122,FW,Korea Republic,26-031,1996,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
123,DF,Wales,25-043,1997,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
124,MF,Cameroon,27-061,1995,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
125,MF,Denmark,30-307,1992,3,0,4,1,25,1.33,0.33,0,0,27.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2
126,FW,Switzerland,29-037,1993,0.1,0,1,1,100,11.25,11.25,0,0,14.8,0,0,0,0.2,0.2,0.23,-0.2,-0.2
127,MF,Denmark,28-283,1994,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
128,FW,United States,24-091,1998,3.5,1,9,5,55.6,2.57,1.43,0.11,0.2,17.9,0,0,0,1.1,1.1,0.12,-0.1,-0.1
129,DF,Cameroon,21-091,2001,1,0,1,0,0,1,0,0,,15.1,0,0,0,0,0,0.04,0,0
130,FW,Netherlands,23-225,1999,5,3,5,3,60,1,0.6,0.6,1,19.9,0,0,0,0.3,0.3,0.06,2.7,2.7
131,DF,Cameroon,30-127,1992,3,0,1,0,0,0.33,0,0,,27.9,0,0,0,0,0,0.02,0,0
132,DF,Wales,27-086,1995,2.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
133,MF,Australia,31-002,1991,2.6,1,2,1,50,0.77,0.38,0.5,1,16.1,0,0,0,0.3,0.3,0.14,0.7,0.7
134,DF,Argentina,24-235,1998,6.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
135,FW,Portugal,37-316,1985,3.2,1,10,2,20,3.1,0.62,0,0,21,2,1,1,1.6,0.8,0.08,-0.6,-0.8
136,FW,Canada,27-245,1995,1.5,0,3,1,33.3,1.97,0.66,0,0,11.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2
137,DF,Spain,33-112,1989,1.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
138,DF,Mexico,25-297,1997,3,0,1,0,0,0.33,0,0,,13,0,0,0,0.2,0.2,0.18,-0.2,-0.2
139,FW,Japan,26-135,1996,3.6,0,6,1,16.7,1.68,0.28,0,0,17.5,1,0,0,0.6,0.6,0.11,-0.6,-0.6
140,FW,Japan,25-059,1997,2,1,2,1,50,1,0.5,0.5,1,9.5,0,0,0,0.5,0.5,0.24,0.5,0.5
141,DF,Netherlands,32-284,1990,4.7,1,5,2,40,1.06,0.43,0.2,0.5,12.3,0,0,0,0.4,0.4,0.08,0.6,0.6
142,MF,Poland,27-185,1995,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
143,DF,Brazil,39-226,1983,1.3,0,3,0,0,2.29,0,0,,21.9,1,0,0,0.2,0.2,0.06,-0.2,-0.2
144,DF,Spain,30-341,1992,1.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
145,FW,Spain,24-225,1998,4.1,1,12,6,50,2.94,1.47,0.08,0.17,21.4,0,0,0,1.4,1.4,0.12,-0.4,-0.4
146,DF,Ghana,27-362,1994,2.8,0,1,0,0,0.36,0,0,,5.7,0,0,0,0.2,0.2,0.23,-0.2,-0.2
147,MF,Costa Rica,21-251,2001,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
148,FW,Wales,25-038,1997,1.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
149,MF,Ghana,26-285,1996,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
150,DF,Brazil,31-156,1991,3.1,0,2,0,0,0.64,0,0,,27.7,0,0,0,0,0,0.02,0,0
151,DF,Portugal,31-100,1991,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
152,GK,Wales,29-179,1993,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
153,DF,Serbia,32-094,1990,0.3,0,1,0,0,3.6,0,0,,27.3,0,0,0,0,0,0.01,0,0
154,FW,Uruguay,23-177,1999,2.7,0,3,1,33.3,1.13,0.37,0,0,22.4,0,0,0,0.4,0.4,0.13,-0.4,-0.4
155,DF,Germany,24-240,1998,2.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
156,MF,Canada,32-336,1990,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
157,MF,Netherlands,29-300,1993,2.1,1,2,1,50,0.95,0.47,0.5,1,9.9,0,0,0,0.2,0.2,0.12,0.8,0.8
158,DF,France,24-052,1998,5.3,0,1,0,0,0.19,0,0,,9.7,0,0,0,0,0,0.05,0,0
159,DF,United States,29-162,1993,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
160,MF,England,23-338,1999,4.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
161,DF,Croatia,33-166,1989,6.7,0,4,0,0,0.6,0,0,,14.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3
162,DF,Ghana,34-205,1988,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
163,MF,Switzerland,26-028,1996,0.7,0,1,0,0,1.53,0,0,,25.4,0,0,0,0,0,0.05,0,0
